time,latitude,longitude,t2m,tp,d2m,number,temp_C,dewpoint_C,precip_mm,RH,outbreak_idx,outbreak_date,sno,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,Temp,week_num,precip_roll3_std,precip_7sum,stagnation,temp_suit,rain_suit,rh_suit,MSI,LAI,cases,lai_suit,MSI_new
2013-08-17,28.6,77.19999999999999,297.69083,0.015229069,297.09436,0.0,24.540833,23.944366,15.229069,96.486755,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,2.959062317912537,56.24929094314575,0,0.8130338072829844,0.5076356333333334,0.9297351,0.7564247219255193,0.5827899146326241,3519.0,0.11655798292652482,0.6359992661651654
2013-08-18,28.6,77.19999999999999,297.15533,0.008927526,296.88953,0.0,24.00534,23.739532,8.9275255,98.41449,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,3.503637540536369,65.17681646347046,0,0.75066705444375,0.2975841833333333,0.9682898,0.6800290442274418,0.7567974338771268,2115.0,0.15135948677542538,0.5837135157992518
2013-08-18,28.6,77.19999999999999,297.15533,0.008927526,296.88953,0.0,24.00534,23.739532,8.9275255,98.41449,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,3.503637540536371,65.17681646347046,0,0.75066705444375,0.2975841833333333,0.9682898,0.6800290442274418,0.7567974338771268,3519.0,0.15135948677542538,0.5837135157992518
2013-08-18,28.6,77.19999999999999,297.15533,0.008927526,296.88953,0.0,24.00534,23.739532,8.9275255,98.41449,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,3.503637540536369,65.17681646347046,0,0.75066705444375,0.2975841833333333,0.9682898,0.6800290442274418,0.7567974338771268,1345.0,0.15135948677542538,0.5837135157992518
2013-08-19,28.6,77.19999999999999,297.57364,0.013477596,297.058,0.0,24.423645,23.90802,13.477596,96.95387,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,3.252697519535438,73.96241521835327,0,0.8001513267808594,0.4492532,0.9390774,0.7365597304990514,0.9308049531216296,3519.0,0.18616099062432592,0.634958848837209
2013-08-19,28.6,77.19999999999999,297.57364,0.013477596,297.058,0.0,24.423645,23.90802,13.477596,96.95387,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,3.252697519535436,73.96241521835327,0,0.8001513267808594,0.4492532,0.9390774,0.7365597304990514,0.9308049531216296,1345.0,0.18616099062432592,0.634958848837209
2013-08-19,28.6,77.19999999999999,297.57364,0.013477596,297.058,0.0,24.423645,23.90802,13.477596,96.95387,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,3.252697519535436,73.96241521835327,0,0.8001513267808594,0.4492532,0.9390774,0.7365597304990514,0.9308049531216296,2115.0,0.18616099062432592,0.634958848837209
2013-08-20,28.6,77.19999999999999,297.69626,0.0072110803,297.0564,0.0,24.546265,23.906403,7.21108,96.23555,12,2013-09-16,5951,38th week,Delhi,New Delhi,Dengue,1345.0,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,38,3.238275114609099,72.5606336593628,0,0.8136205398402342,0.24036933333333332,0.9247110000000001,0.6749723010621966,1.1048124723661326,1345.0,0.22096249447322652,0.6026567814974056
2013-08-20,28.6,77.19999999999999,297.69626,0.0072110803,297.0564,0.0,24.546265,23.906403,7.21108,96.23555,13,2013-09-23,5979,39th week,Delhi,New Delhi,Dengue,2115.0,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,39,3.238275114609099,72.5606336593628,0,0.8136205398402342,0.24036933333333332,0.9247110000000001,0.6749723010621966,1.1048124723661326,2115.0,0.22096249447322652,0.6026567814974056
2013-08-20,28.6,77.19999999999999,297.69626,0.0072110803,297.0564,0.0,24.546265,23.906403,7.21108,96.23555,14,2013-10-07,6028,41st week,Delhi,New Delhi,Dengue,3519.0,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,308.8066666,41,3.238275114609101,72.5606336593628,0,0.8136205398402342,0.24036933333333332,0.9247110000000001,0.6749723010621966,1.1048124723661326,3519.0,0.22096249447322652,0.6026567814974056
